target,source
K965211,K972978
K970259,K950302
K971954,K861420
K153625,K011484
K153625,K902736
K153625,K132065
K974195,K971045
K980486,K932923
K980486,K932924
K982045,K970128
K982983,K950636
K210216,S
K934429,S
K935501,S
K941063,S
K943716,S
K946170,K801941
K946170,K873885
K923819,S
K072643,S
K001528,S
K001827,S
K111307,S
K083026,S
K102485,S
K052966,K021306
K052966,K041899
K052966,K031779
K110202,K101091
K112730,K110565
K943029,S
K945204,S
K945813,S
K920223,S
K924643,S
K003076,S
K081010,K081010
K081010,K033814
K142990,K110455
K132514,K101387
K132618,K101806
K133295,K112413
K141145,K123630
K210216,S
K934429,S
K935501,S
K941063,S
K943716,S
K923819,S
K001528,S
K001827,S
K943029,S
K945204,S
K945813,S
K920223,S
K924643,S
K003076,S
K153748,S
K991086,S
K930781,S
K931970,S
K924078,S
K925154,S
K001714,S
K926189,S
K912592,S
K913489,S
K920338,S
K920635,S
K940682,S
K010321,S
K002511,S
K072789,S
K152448,S
K933924,S
K943100,S
K944968,S
K945793,S
K950184,S
K951395,S
K952270,S
K954841,S
K925749,S
K925845,S
K932468,S
K935277,S
K000061,S
K002049,S
K002669,S
K922310,S
K923983,S
K000001,S
K954809,S
K913802,S
K922254,S
K011426,S
K913028,S
K010445,S
K915836,S
K923209,S
K954733,S
K955435,S
K003674,S
K002773,S
K100424,S
K160295,S
K954768,S
K955697,S
K162344,S
K941846,S
K914504,S
K003946,S
K934044,S
K935689,S
K941837,S
K002465,S
K945513,S
K950758,S
K920419,S
K002446,S
K942523,S
K943444,S
K944296,S
K945407,S
K945517,S
K011071,S
K000196,S
K933906,S
K913469,S
K922680,S
K003936,S
K930400,S
K930531,S
K924721,S
K924921,S
K153615,S
K000332,S
K925742,S
K001064,S
K936016,S
K942233,S
K942298,S
K943668,S
K952412,S
K952637,S
K945558,S
K952891,S
K953255,S
K953394,S
K001347,S
K003594,S
K003826,S
K002432,S
K000415,S
K010279,S
K010961,S
K000511,S
K011247,S
K955111,S
K941585,S
K943115,S
K946029,S
K920110,S
K000897,S
K002157,S
K003351,S
K162967,S
K944543,S
K946075,S
K951103,S
K923811,S
K944304,S
K950334,S
K951082,S
K951986,S
K952081,S
K955390,S
K913684,S
K920238,S
K933804,S
K002793,S
K003372,S
K942687,S
K943281,S
K944961,S
K945783,S
K946328,S
K001845,S
K002329,S
K000400,S
K010061,S
K955266,S
K000878,S
K930488,S
K933021,S
K945345,S
K933796,S
K934889,S
K944451,S
K944950,S
K945970,S
K003060,S
K072780,S
K930789,S
K934531,S
K945032,S
K003586,S
K003725,S
K003819,S
K924495,S
K914896,S
K922088,S
K121944,S
K000510,S
K011530,S
K001176,S
K951492,S
K954833,S
K000981,S
K924364,S
K933415,S
K994329,S
K952935,S
K924869,S
K001283,S
K002596,S
K934008,S
K001271,S
K941004,S
K950469,S
K002223,S
K010247,S
K011399,S
K943314,S
K954483,S
K955654,S
K172733,S
K950149,S
K944495,S
K912154,S
K952261,S
K011411,S
K933960,S
K935084,S
K952860,S
K153622,S
K211478,S
K924593,S
K101759,S
K102790,S
K010689,S
K994438,S
K000155,S
K010788,S
K994429,S
K950837,S
K930168,S
K934411,S
K934837,S
K950635,S
K950769,S
K953344,S
K954912,S
K912442,S
K922048,S
K001598,S
K002072,S
K003460,S
K083199,S
K010014,S
K010194,S
K010300,S
K922029,S
K925066,S
K030506,S
K940423,S
K942677,S
K944563,S
K954568,S
K001860,S
K000977,S
K001083,S
K934552,S
K941013,S
K162894,S
K173064,S
K000812,S
K000826,S
K955040,S
K955407,S
K000920,S
K001201,S
K914915,S
K915847,S
K945674,S
K946313,S
K950586,S
K952026,S
K953611,S
K954561,S
K011114,S
K011474,S
K181787,S
K003202,S
K003995,S
K925987,S
K930562,S
K933680,S
K942737,S
K944327,S
K945551,S
K951331,S
K953868,S
K954274,S
K943683,S
K943701,S
K083844,S
K003724,S
K953556,S
K001976,S
K010485,S
K011000,S
K935085,S
K935597,S
K002514,S
K003650,S
K010202,S
K913188,S
K921854,S
K921951,S
K932764,S
K934135,S
K935374,S
K950512,S
K950634,S
K920873,S
K923881,S
K924526,S
K951076,S
K951515,S
K951638,S
K003336,S
K944955,S
K010057,S
K010818,S
K123152,S
K930390,S
K160380,S
K011505,S
K000743,S
K001139,S
K933893,S
K935022,S
K935794,S
K940001,S
K220327,S
K952759,S
K011219,S
K000643,S
K925902,S
K926231,S
K930712,S
K931440,S
K942364,S
K951785,S
K953399,S
K951739,S
K940210,S
K920601,S
K920791,S
K000507,S
K000600,S
K092625,S
K000050,S
K162903,S
K930386,S
K934122,S
K934704,S
K941527,S
K950561,S
K940659,S
K950833,S
K953179,S
K915496,S
K921772,S
K052106,S
K130444,S
K163398,S
K162914,S
K913216,S
K935340,S
K953121,S
K950541,S
K924910,S
K212163,S
K954854,S
K950814,S
K002833,S
K010242,S
K010630,S
K093640,S
K000618,S
K112474,S
K000478,S
K934170,S
K934434,S
K160751,S
K942953,S
K943154,S
K952118,S
K954017,S
K000480,S
K933239,S
K934618,S
K934985,S
K941745,S
K952863,S
K913275,S
K914885,S
K212606,S
K991221,S
K922354,S
K914352,S
K915873,S
K922700,S
K160591,S
K950990,S
K160352,S
K943582,S
K000276,S
K071191,S
K100646,S
K940219,S
K954372,S
K011394,S
K944033,S
K160019,S
K926394,S
K933359,S
K941973,S
K944922,S
K001801,S
K920105,S
K923481,S
K924935,S
K002519,S
K003568,S
K011283,S
K932252,S
K934504,S
K940076,S
K951863,S
K003086,S
K010681,S
K931069,S
K915124,S
K915736,S
K921445,S
K923903,S
K002584,S
K003439,S
K010085,S
K101826,S
K933228,S
K935847,S
K940368,S
K941050,S
K931980,S
K933682,S
K954726,S
K002735,S
K160195,S
K003274,S
K003906,S
K000654,S
K150209,S
K930344,S
K932272,S
K950787,S
K935260,S
K943979,S
K944580,S
K943605,S
K945115,S
K945526,S
K945633,S
K945838,S
K003793,S
K010213,S
K002240,S
K051902,S
K003339,S
K160149,S
K010112,S
K130675,S
K931602,S
K932677,S
K951086,S
K952960,S
K930954,S
K932976,S
K942050,S
K935674,S
K002803,S
K945384,S
K955141,S
K003251,S
K011343,S
K926004,S
K930684,S
K946306,S
K951779,S
K001023,S
K002206,S
K002819,S
K925106,S
K933125,S
K933235,S
K933743,S
K944202,S
K951707,S
K002471,S
K003334,S
K003745,S
K090210,S
K120037,S
K020599,S
K163507,S
K153783,S
K001059,S
K953397,S
K953761,S
K954196,S
K002225,S
K003020,S
K003235,S
K003735,S
K003914,S
K930979,S
K934940,S
K935071,S
K935477,S
K943010,S
K944092,S
K071193,S
K010341,S
K111488,S
K953199,S
K001685,S
K153631,S
K930243,S
K930480,S
K951106,S
K951895,S
K912589,S
K921158,S
K921991,S
K924402,S
K171265,S
K002021,S
K002640,S
K011486,S
K041155,S
K072787,S
K913915,S
K921746,S
K944017,S
K923026,S
K112535,S
K933192,S
K934124,S
K950621,S
K923953,S
K924400,S
K925465,S
K943700,S
K952430,S
K952482,S
K920012,S
K913741,S
K920294,S
K921884,S
K923663,S
K991222,S
K930147,S
K952226,S
K925695,S
K926201,S
K924053,S
K942661,S
K994309,S
K001140,S
K943180,S
K943629,S
K160306,S
K926083,S
K952491,S
K000784,S
K942182,S
K942338,S
K932445,S
K932537,S
K933285,S
K941099,S
K943485,S
K945159,S
K945686,S
K945055,S
K003413,S
K930640,S
K010452,S
K951548,S
K952733,S
K924057,S
K923830,S
K001588,S
K002181,S
K002615,S
K003881,S
K191657,S
K941998,S
K955033,S
K002724,S
K953554,S
K954103,S
K955300,S
K160296,S
K935546,S
K940516,S
K950140,S
K951363,S
K951476,S
K953097,S
K953510,S
K953763,S
K946164,S
K915577,S
K922586,S
K943599,S
K944520,S
K944611,S
K945521,S
K924595,S
K940556,S
K943304,S
K943977,S
K944795,S
K915622,S
K914909,S
K001171,S
K011338,S
K954790,S
K002229,S
K000273,S
K945212,S
K153646,S
K922139,S
K160063,S
K163238,S
K925721,S
K926122,S
K933281,S
K934663,S
K935554,S
K944463,S
K945572,S
K945884,S
K950176,S
K954211,S
K921296,S
K072527,S
K010048,S
K011386,S
K953124,S
K213746,S
K952126,S
K955644,S
K943696,S
K942335,S
K945221,S
K952739,S
K953459,S
K954348,S
K912439,S
K002274,S
K190161,S
K940240,S
K002364,S
K002493,S
K002857,S
K160150,S
K000875,S
K930553,S
K933432,S
K935591,S
K950883,S
K926297,S
K930013,S
K930191,S
K931464,S
K931808,S
K933927,S
K934212,S
K940049,S
K952097,S
K001793,S
K003087,S
K003700,S
K003778,S
K011081,S
K936183,S
K940867,S
K943817,S
K950028,S
K951197,S
K953374,S
K930822,S
K933907,S
K942977,S
K943279,S
K945173,S
K951398,S
K001239,S
K002625,S
K002723,S
K002999,S
K003894,S
K010920,S
K011382,S
K922647,S
K950927,S
K001559,S
K954321,S
K002356,S
K000830,S
K955152,S
K955354,S
K003253,S
K002752,S
K073448,S
K010758,S
K010550,S
K940178,S
K941276,S
K952649,S
K153786,S
K924894,S
K001894,S
K003966,S
K010399,S
K001847,S
K920250,S
K141142,S
K954071,S
K960477,S
K931703,S
K933134,S
K003570,S
K955399,S
K932273,S
K934630,S
K940286,S
K923158,S
K923473,S
K953500,S
K943886,S
K944506,S
K921383,S
K934070,S
K934520,S
K942634,S
K943153,S
K944219,S
K950786,S
K951198,S
K952589,S
K953235,S
K954491,S
K001886,S
K932374,S
K933957,S
K942534,S
K944303,S
K944995,S
K950885,S
K951427,S
K951746,S
K921243,S
K924677,S
K954262,S
K170883,S
K000993,S
K942606,S
K943890,S
K946215,S
K001482,S
K001678,S
K002682,S
K994251,S
K000257,S
K930510,S
K160191,S
K932477,S
K932565,S
K935070,S
K935370,S
K935785,S
K950493,S
K000566,S
K002942,S
K000295,S
K010177,S
K000477,S
K010883,S
K011155,S
K000574,S
K000767,S
K000881,S
K994296,S
K002603,S
K002783,S
K003441,S
K010672,S
K926245,S
K935047,S
K935909,S
K940637,S
K951391,S
K951814,S
K954761,S
K932668,S
K994302,S
K071691,S
K920875,S
K915225,S
K950702,S
K923782,S
K952773,S
K913831,S
K001936,S
K002654,S
K920684,S
K960539,S
K000384,S
K945522,S
K951022,S
K945975,S
K912648,S
K953602,S
K915076,S
K915579,S
K924614,S
K921707,S
K923711,S
K001492,S
K002691,S
K945458,S
K945846,S
K914371,S
K010487,S
K203855,S
K922006,S
K923483,S
K925776,S
K951447,S
K994294,S
K942152,S
K061725,S
K072740,S
K935146,S
K940425,S
K945155,S
K003077,S
K183467,S
K002415,S
K120208,S
K011089,S
K952725,S
K152623,S
K023056,S
K010811,S
K946230,S
K990418,S
K103778,S
K120428,S
K912465,S
K001086,S
K011443,S
K921939,S
K933883,S
K942560,S
K930501,S
K931150,S
K931911,S
K951350,S
K953242,S
K935338,S
K941803,S
K951488,S
K952625,S
K002536,S
K003667,S
K003997,S
K010130,S
K010531,S
K001270,S
K010065,S
K010557,S
K011052,S
K955003,S
K955119,S
K932602,S
K933362,S
K933663,S
K926423,S
K931737,S
K932531,S
K936287,S
K940710,S
K941498,S
K950985,S
K946321,S
K950704,S
K952774,S
K930431,S
K952206,S
K922787,S
K915786,S
K924625,S
K932940,S
K940436,S
K941705,S
K942991,S
K032491,S
K004013,S
K001913,S
K003100,S
K003571,S
K010599,S
K121587,S
K011152,S
K953605,S
K912875,S
K961708,S
K961814,S
K001403,S
K932693,S
K915730,S
K002180,S
K002381,S
K936023,S
K010113,S
K132730,S
K001990,S
K002978,S
K003458,S
K000414,S
K010402,S
K011264,S
K160354,S
K930606,S
K931052,S
K914404,S
K942046,S
K945616,S
K926337,S
K003449,S
K915824,S
K920694,S
K921717,S
K923091,S
K932542,S
K942893,S
K003528,S
K011428,S
K011522,S
K940513,S
K153607,S
K160097,S
K950697,S
K954554,S
K955049,S
K915426,S
K001256,S
K954722,S
K932211,S
K932909,S
K954727,S
K933512,S
K933926,S
K934333,S
K934585,S
K934917,S
K940647,S
K940759,S
K942229,S
K942294,S
K950813,S
K951788,S
K000079,S
K945694,S
K950186,S
K003252,S
K082371,S
K010175,S
K914140,S
K935419,S
K935979,S
K940723,S
K942455,S
K954025,S
K001423,S
K002399,S
K000746,S
K182826,S
K212750,S
K994230,S
K931763,S
K932391,S
K932687,S
K921014,S
K922851,S
K953232,S
K953483,S
K001315,S
K000331,S
K926243,S
K011288,S
K951387,S
K914488,S
K920009,S
K921640,S
K925863,S
K915441,S
K002472,S
K951636,S
K002786,S
K931546,S
K931734,S
K934765,S
K940795,S
K945429,S
K952578,S
K002032,S
K002841,S
K011136,S
K002889,S
K003651,S
K003983,S
K930286,S
K930389,S
K931357,S
K946353,S
K952524,S
K162972,S
K930807,S
K994436,S
K010507,S
K152508,S
K160573,S
K924202,S
K951691,S
K942885,S
K953877,S
K924719,S
K925148,S
K944162,S
K950928,S
K092633,S
K003318,S
K081858,S
K011304,S
K011395,S
K160218,S
K912901,S
K914898,S
K160044,S
K010870,S
K011142,S
K926525,S
K930347,S
K931769,S
K932803,S
K934866,S
K941901,S
K942860,S
K945464,S
K933159,S
K933268,S
K934087,S
K934888,S
K944253,S
K944949,S
K940298,S
K943169,S
K944232,S
K945753,S
K922157,S
K954021,S
K955001,S
K914518,S
K925443,S
K925647,S
K001812,S
K002015,S
K051589,S
K921251,S
K011480,S
K964879,S
K991225,S
K011037,S
K203112,S
K954679,S
K001231,S
